review,rating
mantap joss,5
Hlh. Sekqrepmu,5
lah iya bagus,5
"Maaf sistem pelayanan Tokopedia semakin kesini semakin buruk terutama kurir expedisi JNT meretur paket seanak jidatnya, konsekuensi apa yang akan di berikan kepada kurir semacam itu..",1
Kok akun gue logout sendiri yang bener aje lu,1
👍bagus,4
gacor minnn🔥🔥🔥,4
"customer servicenya busukkk , pembayaran qris saldo udah kepotong tapi status masih menunggu (blm dibayar) chat cs kaya bot balesnya , udh gitu lama .. entah lah duit gw ilang kemana wkkwk . busuk bgt pelayanannya , kaga lagi"" gw pake nih aplikasi .. sampahhh!!!",1
ok,5
Tolong percepat pengiriman,2
Aplikasi gak mutu,1
bagus,5
Penjual di appl sok sibuk banget sampe ditanya gak mau jawab kocak,1
sukses selalu,5
Setiap mau masuk ke bagian transaksi untuk ngecek barang yang di beli pasti selalu aplikasinya keluar sendiri dan ada notifikasi aplikasi tidak ada tanggapan,1
good,5
"ADMIN TONYETNYA JUTEK, GA KASIH SOLUSI APAPUN",1
Baru daftar aja udah di persulit.masukin token aja di persulit padahal udah masukin sandi yang pling susah tapi .token tidak valid hampir 50 kata sandi berbeda tidak bisa auto uninstall,1
"Makin kesini makin aneh2 ni tokped, Cs nya lemot, chat sekarang bales kapan, vocher batal sistem terus.. Masi lebih baik toko oyen..",1
Ok,5
Sangat membantu,5
terima kasih atas pelayanannya,5
MANTAP,5
"Itu expedisi id express mnding jangan dipale recemoded buat ngirim brng, Gila",3
"Aplikasi minta di update,aplikasi cuma 36MB pdahal memori ada 1,11 GB kenapa gagal terus hadeh",1
Saat ini Mengecewakan,1
Lemot,3
Setelah saya baca komen saya jadi takut untuk download Tokopedia .jadi saya komen aja semoga semakin baik bukan meburuk,1
bagus,5
sangat membantu sekali...,5
jangan download g rekomen bngt,1
Harga barangnya murah dan berkualitas premium,5
"Saya Pengguna baru,Semoga Tokped tidak mengecewakan.",5
bagus ³,3
"Ngasih bintang 1 aja saya sebenernya keberatan juga, Transaksi pembayaran sudah sukses malah di batalkan sistem, dan dana saya di tahan pengajuan ke CS malah berbelit Belit ,sampai sekarang dana saya masih di tahan..mana dana nya 10jt lagi .. nyesel transaksi di sini mending di flat room lain aja gak seribet disini",1
"sedikit kecewa dengan tokped, ggra 1 problem ada yg kirim paket ghaib ke saya melalui aplikasi tokped, padahal dlu tokped aman2 aja lho aplikasi belanja favorit saya malahan, saya chat cs pun lama dibalasnya tidak ditindaklanjuti, kecewa saya dengan tokped",1
puas,3
Min saya ada promo kok gak bisa di pakai,4
bagus banyak diskon,5
buruk loading lama,1
"Aneh sistem nya pesanan di batalin otomatis, terus ada lagi pengiriman salah .. kek nya di sengaja dah.. udh jelas alamat ada no hp ada ..hdeh mana udh di tf juga .. kacau .. dahlah cape pengiriman lama respon komplain nunggu 3 hari tapi gk tau bisa jadi 3 bulan wkwk ..",1
"Saya heran dengan tokopedia,makin lama makin kacau,sistem pembayaran makin gk karuan,cod udah gk ada bayar pake paylater gk bisa,padahal paylater saya gk ada masalah tiap tgl 1 saya selalu tepat bayar.d karena kan saya butuh barang ya terpaksa belanja pake aplikasi lain. Saran saya untuk tokopedia jangan kepedean kalo sistem seperti ini terus bisa bisa konsumen pada lari ke aplikasi lain,dan aplikasi lain lebih menjanjikan. Selamat tinggal tokopedia.",1
👍,5
Iklan mu itu loh ganggu aja cok,1
"Tokopedia bab* klaim uang kehilangan aja butuh satu tahun dasar tokopedia penipu, tokopedia konto* anjin*",1
"Kecewa banget sama tokped, Sistem keamanannya sangat minim, banyak akun penipu tapi susah untuk klaimnya, sudah coba ikuti sesuai petunjuk tetep ga bisa, untuk minta refund uang agar tidak di teruskan ke penjual penipu tapi susahnya minta ampun, sangat tidak aman",1
pokoknya tokped tdk mengecewakan...,4
"Tolong di cek lagi, ini update toped terbaru jd lemot di hp.. Buka keranjang loading lama bgt. Buka produk jg loading terus.. Jgn terlalu banyak update tdk jelas dan memakan memori besar",1
pembayaran cod hanya ada satu 1x,3
bagus,5
Kenapa aplikasi tokped jadi lola dan sering tidak bisa di gunakan untuk chatt seller utk bertanya tentang produknya.....,1
Barang dateng gk sesuai tanggal Dan dateng lamaa,1
banyak diskon,5
toko online terpercaya dan terbaik,5
"Belanja disini karena ada duit di Gopay, seller ga ngirim2 udah 4 hari akhirnya di cancel system. Beli di toko berbeda malah pengiriman lama banget pake JNE. Sumpah harus extra sabar kalo di Tokopedia.",2
Cukup baik,5
Ecommerce paling lambat response keluhan customer...bad..slow response..e commerce terburuk yang pernah ada..Harusnya tokopedia quick response kalau pengiriman diluar kewajaran..diluar estimasi..jangan nunggu dikomplain..payah..yang dirugikan seller dan pembeli..Hapus tokopedia jangan pernah pakai tokopedia..konsumen selalu dirugikan.. #tokopedia#ecommerce yg merugikan konsumen,1
"Lebih utamakan perbanyak gratis ongkir & diskon awal tahun, terutama untuk rekomendasi kurir agar bisa manual pilih sendiri bukan sistem yg pilihkan ekspedisinya, sekian overrall sudah bagus selain diskonnya, tingkatkan lagi layanannya serta eventnya diperbanyak, Terima Kasih.",3
bagus,5
Ok,5
Aplikasi yang bagus,5
"thank u so much tokopedia ! banyak promo nya, gak ribet, pengirimannya cepat, ga banyak lag, lovee tokopedia so muchh <33",5
Ok,5
"Tolong ya, ini saya ngajuin komplen kok loading mulu. Jelek bangettt",1
"solutif, ada transaksi gagal di atas 10 juta langsung dikembalikan kurang dari 1 jam.",5
Vouchernya makin ngaco,1
"Pengalaman yang sangat buruk, management nya sangat buruk, malah prioritaskan penjual dari pada pembeli, penjual adalah kontrak, pembeli adalah tamu yang layak di hormati, harap kebijakan systemnya di benahi",1
bguss asa vocer setiap hario sukaa bgttt,5
"Tokopedia emng diskon nya gede awal² pengguna baru, tapi kurir² nya itu loh lamaa bangett kalo ngirimm bisa sampe nunggu 2mingguan pesen basreng aja 2 Minggu baru sampee haduhh ganti² aja tuh kurirnyaa",1
Ok,5
Notifikasinya gak umum. Mengganggu. Perdetik pasti selalu ada notifikasi.,1
